,rewards,balloon_number_session,run_num,pop_range_0,pop_range_1,balloon_number,press_time_error,press_time_time,balloon_in_bag,trkp_press_time,key_pressed,log_time,reward_appear_time_time,reward_appear_time_error,rt,grand_total,bag_ID_number,eeg_pulse_time,trial,set_number,pop_status,total,block,balloon_size,log_num,trkp_press_time_error,trkp_press_time_time
145,0.22,8.0,2.0,8.0,16.0,2.0,0.00046559268662349496,2084.3888796075116,2.0,,4,2084.938879607512,2084.0449229756487,0.0,0.3439566318629659,5.380000000000002,0.0,,4.0,0.0,not_popped,0.8500000000000001,0.0,125.0,0.0,,
146,0.07,8.0,2.0,8.0,16.0,2.0,0.0005007788045077177,2087.0126056345443,2.0,,4,2087.5626056345445,2086.245433977821,0.0,0.7671716567233489,5.370000000000002,0.0,,5.0,0.0,not_popped,0.9200000000000002,0.0,130.0,0.0,,
147,0.11,8.0,2.0,8.0,16.0,2.0,0.0005446921877592104,2089.220142916591,2.0,,4,2089.7701429165913,2088.745881423337,0.0,0.47426149325428923,5.360000000000002,0.0,,6.0,0.0,not_popped,1.0300000000000002,0.0,135.0,0.0,,
148,0.07,8.0,2.0,8.0,16.0,2.0,0.0005318090816217591,2091.593384095542,2.0,,4,2092.1433840955424,2091.029651092238,0.0,0.5637330033041508,5.350000000000002,0.0,,7.0,0.0,not_popped,1.1000000000000003,0.0,140.0,0.0,,
149,0.05,8.0,2.0,8.0,16.0,2.0,0.0005041034771693376,2093.915586979252,2.0,,1,2094.415586979252,2093.4467902779925,0.0,0.4687967012596346,6.440000000000003,0.0,,8.0,0.0,not_popped,1.1000000000000003,0.0,140.0,0.0,,
150,0.14,9.0,2.0,0.0,16.0,15.0,0.0005103372382109228,2096.879459840449,3.0,,4,2097.429459840449,2096.5640683796487,0.0,0.3153914608001287,6.440000000000003,2.0,,0.0,0.0,not_popped,0.14,0.0,105.0,0.0,,
151,0.16,9.0,2.0,0.0,16.0,15.0,0.0005128307427639811,2099.063453315225,3.0,,4,2099.6134533152253,2098.781167835566,0.0,0.28228547965909456,6.440000000000003,2.0,,1.0,0.0,not_popped,0.30000000000000004,0.0,110.0,0.0,,
152,0.06,9.0,2.0,0.0,16.0,15.0,0.0004884498105184321,2101.576811295464,3.0,,1,2102.076811295464,2100.8816120118204,0.0,0.6951992836434329,6.730000000000003,2.0,,2.0,0.0,not_popped,0.30000000000000004,0.0,110.0,0.0,,
153,0.2,10.0,2.0,8.0,16.0,1.0,0.0005178177514153504,2104.374999515152,1.0,,4,2104.924999515152,2104.1072536597717,0.0,0.26774585538032625,6.730000000000003,0.0,,0.0,0.0,not_popped,0.2,0.0,105.0,0.0,,
154,0.16,10.0,2.0,8.0,16.0,1.0,0.0004974541320734716,2106.5076155780857,1.0,,4,2107.057615578086,2106.2576837338734,0.0,0.24993184421236947,6.730000000000003,0.0,,1.0,0.0,not_popped,0.36,0.0,110.0,0.0,,
155,0.08,10.0,2.0,8.0,16.0,1.0,0.0005198956716867542,2108.8036954012578,1.0,,4,2109.353695401258,2108.466434659933,0.0,0.3372607413248261,6.730000000000003,0.0,,2.0,0.0,not_popped,0.44,0.0,115.0,0.0,,
156,0.19,10.0,2.0,8.0,16.0,1.0,0.0004971770758857019,2111.167337003772,1.0,,4,2111.717337003772,2110.9169372118963,0.0,0.2503997918756795,6.730000000000003,0.0,,3.0,0.0,not_popped,0.63,0.0,120.0,0.0,,
157,0.11,10.0,2.0,8.0,16.0,1.0,0.0004730731998279225,2113.5124596260075,1.0,,4,2114.0624596260077,2112.992359625398,0.0,0.5201000006095455,6.720000000000003,0.0,,4.0,0.0,not_popped,0.74,0.0,125.0,0.0,,
